Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,365.369995,367.859985,364.429993,366.730011,366.730011,57735353
2020-12-11,364.899994,366.740204,363.260010,366.299988,366.299988,57698614
2020-12-14,368.640015,369.799988,364.470001,364.660004,364.660004,69216174
2020-12-15,367.399994,369.589996,365.920013,369.589996,369.589996,64071099
2020-12-16,369.820007,371.160004,368.867615,370.170013,370.170013,58420517
2020-12-17,371.940002,372.459991,371.049988,372.239990,372.239990,64119472
2020-12-18,370.970001,371.149994,367.019989,369.179993,369.179993,136542328
2020-12-21,364.970001,378.459991,362.029999,367.859985,367.859985,96386745
2020-12-22,368.209991,368.331696,366.029999,367.239990,367.239990,48388462
2020-12-23,368.279999,369.619995,367.217194,367.570007,367.570007,46201402
2020-12-24,368.079987,369.029999,367.450012,369.000000,369.000000,26457853
2020-12-28,371.739990,372.589996,371.070007,372.170013,372.170013,39000402
2020-12-29,373.809998,374.000000,370.829987,371.459991,371.459991,53680451
2020-12-30,372.339996,373.100006,371.570007,371.989990,371.989990,49455259
2020-12-31,371.779999,374.660004,371.231995,373.880005,373.880005,78520702
2021-01-04,375.309998,375.450012,364.820007,368.790009,368.790009,110210810
2021-01-05,368.100006,372.500000,368.049988,371.329987,371.329987,66426229
2021-01-06,369.709991,376.980011,369.119995,373.549988,373.549988,107997675
2021-01-07,376.100006,379.899994,375.910004,379.100006,379.100006,68766812
2021-01-08,380.589996,381.489990,377.100006,381.260010,381.260010,71677208
2021-01-11,377.850006,380.579987,377.718903,378.690002,378.690002,51176719
2021-01-12,378.890015,379.859985,376.359985,378.769989,378.769989,52547716
2021-01-13,378.690002,380.859985,377.850006,379.790009,379.790009,45303619
2021-01-14,380.589996,381.130005,378.100006,378.459991,378.459991,49989113
2021-01-15,376.720001,377.579987,373.700012,375.700012,375.700012,107159962
2021-01-19,378.339996,379.230011,376.750000,378.649994,378.649994,51233300
2021-01-20,381.109985,384.790009,380.690002,383.890015,383.890015,61836062
2021-01-21,384.489990,384.950012,383.250000,384.239990,384.239990,47955809
2021-01-22,382.250000,384.125610,381.834991,382.880005,382.880005,52136931
2021-01-25,383.670013,384.769989,378.459991,384.390015,384.390015,70401971
2021-01-26,385.410004,385.850006,383.540009,383.790009,383.790009,42665281
2021-01-27,380.220001,380.320007,372.010010,374.410004,374.410004,123351078
2021-01-28,376.359985,381.929993,375.890015,377.630005,377.630005,94198104
2021-01-29,375.630005,376.670013,368.269989,370.070007,370.070007,126765121
2021-02-01,373.720001,377.339996,370.376007,376.230011,376.230011,75817597
2021-02-02,379.649994,383.220001,376.318115,381.549988,381.549988,64450662
2021-02-03,382.434998,383.700012,380.480011,381.850006,381.850006,52427090
2021-02-04,382.959991,386.239990,381.965515,386.190002,386.190002,47142555
2021-02-05,388.200012,388.470001,386.144409,387.709991,387.709991,48669773
2021-02-08,389.269989,390.559998,388.350006,390.510010,390.510010,38365185
2021-02-09,389.609985,390.890015,389.170013,390.250000,390.250000,35551059
2021-02-10,392.119995,392.279999,387.500000,390.079987,390.079987,59154370
2021-02-11,391.239990,391.690002,388.100006,390.709991,390.709991,42913288
2021-02-12,389.850006,392.899994,389.769989,392.640015,392.640015,50593270
2021-02-16,393.959991,394.170013,391.529999,392.299988,392.299988,50972366
2021-02-17,390.420013,392.660004,389.329987,392.390015,392.390015,52806681
2021-02-18,389.589996,391.515015,387.739990,390.720001,390.720001,59712773
2021-02-19,392.070007,392.380005,389.549988,390.029999,390.029999,83240971
2021-02-22,387.059998,389.619995,386.739990,387.029999,387.029999,67414170
2021-02-23,384.660004,388.945007,380.200012,387.500000,387.500000,107284127
2021-02-24,386.329987,392.230011,385.269989,391.769989,391.769989,72433946
2021-02-25,390.410004,391.880005,380.778900,382.329987,382.329987,146670499
2021-02-26,384.350006,385.579987,378.230011,380.359985,380.359985,152701639
2021-03-01,385.589996,390.920013,380.571991,389.579987,389.579987,105348798
